O-D,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,0,131.2475537,134.7753125,637.4250276,246.987397,512.3356714,853.8927857,1366.228457,562.9376896,1901.1491,0.113855104,341.5571143,853.8927857,512.3356714,853.8166451,853.8837239,682.9967947,170.7785571,510.9124283,512.3356714,170.7785571,683.1142286,512.3356714,170.7785571
2,131.2475537,0,123.4936985,341.555308,170.7785571,683.1142286,341.5571143,683.1142286,341.5571143,1024.671343,305.8421708,170.7785571,512.3356714,170.7785571,170.7785571,683.1142286,341.5571143,0,170.7785571,170.7785571,0,170.7785571,0,0
3,134.7753125,123.4936985,0,269.550625,131.2475537,512.3356714,170.7785571,341.5571143,121.4149303,512.0088685,0.086839864,341.5571143,170.7785571,170.7785571,170.7784992,340.2925902,161.0806951,0,0,0,0,170.7785571,170.7785571,0
4,637.4250276,341.555308,269.550625,0,690.3335945,683.1142286,683.1142286,1195.4499,905.7680487,2049.33771,0.515153467,1024.671343,1024.671343,853.8927857,853.8927846,1366.209144,853.6972581,170.7785571,340.2943654,512.3356714,341.5571143,683.1141711,853.8927857,341.5571143
5,246.987397,170.7785571,131.2475537,690.3335945,0,341.5571143,341.5571143,853.8927857,1064.327637,1707.785571,0.163182597,341.5571143,341.5571143,170.7785571,341.5571143,853.8927857,341.5571143,0,170.7785571,170.7785571,170.7785571,341.5571143,170.7785571,0
6,512.3356714,683.1142286,512.3356714,683.1142286,341.5571143,0,683.1142286,1366.228457,683.1142286,1366.228457,683.1142286,341.5571143,341.5571143,170.7785571,341.5571143,1537.007014,853.8927857,170.7785571,341.5571143,512.3356714,170.7785571,341.5571143,170.7785571,170.7785571
7,853.8927857,341.5571143,170.7785571,683.1142286,341.5571143,683.1142286,0,1364.505302,1014.372562,3244.792586,853.8925684,1195.4499,683.1142286,341.5571143,853.8927857,2390.8998,1707.785571,341.5571143,683.1142286,853.8927857,341.5571143,853.8927857,341.5571143,170.7785571
8,1366.228457,683.1142286,341.5571143,1195.4499,853.8927857,1366.228457,1364.505302,0,987.9495882,2732.456914,1366.228457,1024.671343,1024.671343,683.1142286,1024.671343,3757.128257,2390.8998,512.3356714,1195.4499,1537.007014,683.1142286,853.8927857,512.3356714,341.5571143
9,853.8927857,341.5571143,170.7785571,1195.4499,1366.228457,683.1142286,1014.372562,987.9495882,0,4781.7996,2390.8998,1024.671343,1024.671343,1024.671343,1537.007014,2390.8998,1537.007014,341.5571143,683.1142286,1024.671343,512.3356714,1195.4499,853.8927857,341.5571143
10,1901.1491,1024.671343,512.0088685,2049.33771,1707.785571,1366.228457,2384.833642,2732.444098,4781.7996,0,7.782341757,3415.571143,3244.792586,3586.3497,6831.142286,5930.113749,6659.253702,905.7680487,3073.431605,4269.463929,2049.342686,4440.242486,3074.013998,1366.228457
11,847.8269246,341.5571143,512.321727,2561.678092,853.8927857,683.1142286,853.8927857,1366.228457,2390.8998,6660.363557,0,2390.8998,1707.785571,2732.456914,2390.8998,2390.883621,1707.598362,170.7785571,683.0873557,1024.671343,683.1142286,1878.564129,2220.121243,1024.671343
12,341.5571143,170.7785571,341.5571143,1024.671343,341.5571143,341.5571143,1195.4499,1024.671343,1024.671343,3415.571143,2390.8998,0,2220.121243,1195.4499,1195.4499,1195.4499,1024.671343,341.5571143,512.3356714,683.1142286,512.3356714,1195.4499,1195.4499,853.8927857
13,853.8927857,512.3356714,170.7785571,1024.671343,341.5571143,341.5571143,683.1142286,1024.671343,1024.671343,3244.792586,1707.785571,2220.121243,0,1024.671343,1183.434656,1024.671343,842.348463,170.7785571,506.1829277,1024.671343,1024.671343,2201.452092,1049.980429,1078.202505
14,512.3356714,170.7785571,170.7785571,853.8927857,170.7785571,170.7785571,341.5571143,683.1142286,1024.671343,3586.3497,2732.456914,1195.4499,1024.671343,0,2220.121243,1195.4499,1195.4499,170.7785571,512.3356714,853.8927857,683.1142286,2049.342686,1878.564129,683.1142286
15,853.8166451,170.7785571,170.7784992,853.8927846,341.5571143,341.5571143,853.8927857,1024.671343,1707.785571,6831.142286,2390.8998,1195.4499,1183.434656,2220.121243,0,2049.341832,1995.61428,341.5571143,1091.60424,1878.564129,1366.228457,3547.713781,1293.953946,677.7017492
16,853.8837239,683.1142286,340.2925902,1366.209144,853.8927857,1537.007014,1862.573365,3757.114395,2390.8998,5930.113749,2.143153349,1195.4499,1024.671343,1195.4499,2049.341832,0,4781.799598,682.252651,2220.121229,2732.456914,1024.671343,2049.286987,847.8354108,512.3356714
17,682.9967947,341.5571143,161.0806951,853.6972581,341.5571143,853.8927857,1707.785571,2390.8998,1537.007014,6659.253702,1007.439351,1024.671343,842.348463,1195.4499,1995.61428,4781.799598,0,1024.671343,2347.13422,2903.235472,1024.671343,2167.245098,715.4769193,506.8712566
18,170.7785571,0,0,170.7785571,0,170.7785571,276.1334378,399.122864,341.5571134,905.7680487,0.255768076,341.5571143,170.7785571,170.7785571,341.5571143,682.252651,1024.671343,0,512.3356714,683.1142286,170.7785571,512.3356714,170.7785571,0
